code,name,amount,pct,,,,
002332.SZ,仙琚制药,5.9993,3.5349,,,,
002898.SZ,赛隆药业,0.4029,3.5250,,,,
603527.SH,众源新材,0.8047,3.5225,,,,
003021.SZ,兆威机电,1.6107,3.5223,,,,
002644.SZ,佛慈制药,1.2012,3.5032,,,,
603035.SH,常熟汽饰,2.2635,3.4912,,,,
300593.SZ,新雷能,1.6137,3.4898,,,,
300615.SZ,欣天科技,0.3641,3.4855,,,,
003008.SZ,开普检测,0.3210,3.4814,,,,
002879.SZ,长缆科技,0.5433,3.4670,,,,
600851.SH,海欣股份,0.2951,3.4632,,,,
837821.BJ,则成电子,0.1318,3.4483,,,,
301082.SZ,久盛电气,0.5553,3.4483,,,,
300797.SZ,钢研纳克,3.0917,3.4483,,,,
300499.SZ,高澜股份,1.6977,3.4483,,,,
000695.SZ,滨海能源,0.5553,3.4483,,,,
300497.SZ,富祥药业,1.5116,3.4345,,,,
002300.SZ,太阳电缆,2.1670,3.4063,,,,
300825.SZ,阿尔特,0.7106,3.4019,,,,
688180.SH,君实生物-U,4.7797,3.3989,,,,
688266.SH,泽璟制药-U,2.1083,3.3982,,,,
000953.SZ,河化股份,1.5991,3.3981,,,,
002543.SZ,万和电气,6.4103,3.3924,,,,
688114.SH,华大智造,3.3397,3.3917,,,,
002727.SZ,一心堂,3.0719,3.3873,,,,
300358.SZ,楚天科技,2.5771,3.3869,,,,
000963.SZ,华东医药,11.7797,3.3784,,,,
300108.SZ,*ST吉药,0.4850,3.3654,,,,
300565.SZ,科信技术,12.1350,3.3572,,,,
000952.SZ,广济药业,0.9583,3.3548,,,,
300490.SZ,华自科技,1.0946,3.3545,,,,
300820.SZ,英杰电气,3.0460,3.3543,,,,
300408.SZ,三环集团,4.8654,3.3345,,,,
688155.SH,先惠技术,0.6355,3.3343,,,,
000796.SZ,ST凯撒,0.9442,3.3259,,,,
301049.SZ,超越科技,0.3900,3.3201,,,,
002412.SZ,汉森制药,1.1195,3.3167,,,,
605008.SH,长鸿高科,0.3842,3.3068,,,,
688468.SH,科美诊断,0.4087,3.3006,,,,
002178.SZ,延华智能,2.4332,3.2967,,,,
603639.SH,海利尔,0.7396,3.2917,,,,
300443.SZ,金雷股份,3.7123,3.2889,,,,
605507.SH,国邦医药,2.2073,3.2845,,,,
301048.SZ,金鹰重工,0.6922,3.2825,,,,
301168.SZ,通灵股份,1.7175,3.2800,,,,
688338.SH,赛科希德,0.5588,3.2762,,,,
300530.SZ,达志科技,0.4337,3.2726,,,,
002811.SZ,郑中设计,0.4965,3.2672,,,,
301152.SZ,天力锂能,3.7737,3.2665,,,,
301085.SZ,亚康股份,0.4074,3.2652,,,,
600993.SH,马应龙,2.2068,3.2473,,,,
300039.SZ,上海凯宝,2.1583,3.2432,,,,
603790.SH,雅运股份,0.1682,3.2393,,,,
603368.SH,柳药集团,1.8440,3.2391,,,,
688697.SH,纽威数控,1.2890,3.2381,,,,
002003.SZ,伟星股份,1.1934,3.2285,,,,
003036.SZ,泰坦股份,0.9246,3.2258,,,,
002742.SZ,ST三圣,0.5903,3.2258,,,,
301171.SZ,易点天下,2.1774,3.2202,,,,
300092.SZ,科新机电,0.8472,3.2129,,,,
002139.SZ,拓邦股份,4.8080,3.2106,,,,
603211.SH,晋拓股份,1.6332,3.2104,,,,
603867.SH,新化股份,1.2685,3.2072,,,,
688613.SH,奥精医疗,1.5619,3.2028,,,,
002726.SZ,龙大美食,1.3573,3.2017,,,,
300181.SZ,佐力药业,2.5070,3.1959,,,,
688237.SH,超卓航科,0.8530,3.1920,,,,
603283.SH,赛腾股份,3.6765,3.1758,,,,
300802.SZ,矩子科技,1.3134,3.1569,,,,
603871.SH,嘉友国际,2.1873,3.1565,,,,
600422.SH,昆药集团,2.1040,3.1528,,,,
002411.SZ,*ST必康,2.5228,3.1515,,,,
603179.SH,新泉股份,1.8481,3.1282,,,,
688133.SH,泰坦科技,1.7347,3.1250,,,,
300786.SZ,国林科技,0.7496,3.1250,,,,
300850.SZ,新强联,6.8325,3.1098,,,,
002487.SZ,大金重工,9.5033,3.1039,,,,
688513.SH,苑东生物,1.0779,3.0863,,,,
002534.SZ,西子洁能,2.6259,3.0822,,,,
002446.SZ,盛路通信,19.3580,3.0818,,,,
000537.SZ,广宇发展,3.2403,3.0722,,,,
002733.SZ,雄韬股份,2.8630,3.0719,,,,
603209.SH,兴通股份,0.4176,3.0688,,,,
600580.SH,卧龙电驱,4.2081,3.0636,,,,
000586.SZ,汇源通信,0.3503,3.0377,,,,
301120.SZ,新特电气,1.6999,3.0360,,,,
600879.SH,航天电子,3.2142,3.0255,,,,
603566.SH,普莱柯,1.1610,3.0088,,,,
430685.BJ,新芝生物,1.0045,3.0058,,,,
605255.SH,天普股份,0.2375,3.0043,,,,
603538.SH,美诺华,2.5289,3.0000,,,,
300939.SZ,秋田微,0.8973,2.9979,,,,
300604.SZ,长川科技,5.3926,2.9962,,,,
600636.SH,国新文化,4.2304,2.9904,,,,
300062.SZ,中能电气,1.6620,2.9874,,,,
688799.SH,华纳药厂,0.6735,2.9851,,,,
300715.SZ,凯伦股份,0.3625,2.9851,,,,
430476.BJ,海能技术,0.9704,2.9813,,,,
301057.SZ,汇隆新材,0.4038,2.9768,,,,
688690.SH,纳微科技,2.5164,2.9576,,,,
001332.SZ,锡装股份,3.1618,2.9490,,,,
301111.SZ,粤万年青,1.1660,2.9452,,,,
300519.SZ,新光药业,0.6870,2.9375,,,,
605499.SH,东鹏饮料,1.1459,2.9301,,,,
603882.SH,金域医学,6.4952,2.9260,,,,
002426.SZ,胜利精密,6.4314,2.9197,,,,
002058.SZ,威尔泰,0.3065,2.9160,,,,
002382.SZ,蓝帆医疗,3.3827,2.9138,,,,
605009.SH,豪悦护理,0.6495,2.9111,,,,
688698.SH,伟创电气,0.3425,2.9050,,,,
002698.SZ,博实股份,2.1685,2.9005,,,,
301039.SZ,中集车辆,1.7185,2.9004,,,,
002735.SZ,王子新材,0.5220,2.8962,,,,
301073.SZ,君亭酒店,1.2438,2.8943,,,,
300149.SZ,睿智医药,1.1259,2.8942,,,,
688633.SH,星球石墨,0.3271,2.8937,,,,
600603.SH,广汇物流,2.6976,2.8921,,,,
300147.SZ,香雪制药,0.8557,2.8902,,,,
000833.SZ,粤桂股份,1.0947,2.8902,,,,
002429.SZ,兆驰股份,0.8770,2.8818,,,,
301207.SZ,华兰疫苗,1.4264,2.8801,,,,
301130.SZ,西点药业,0.7812,2.8793,,,,
603308.SH,应流股份,1.7305,2.8713,,,,
300482.SZ,万孚生物,5.8841,2.8696,,,,
601126.SH,四方股份,4.7575,2.8649,,,,
600995.SH,南网储能,2.3115,2.8648,,,,
300789.SZ,唐源电气,0.2244,2.8585,,,,
603806.SH,福斯特,6.1507,2.8471,,,,
300257.SZ,开山股份,2.3316,2.8445,,,,
300583.SZ,赛托生物,0.3707,2.8434,,,,
600332.SH,白云山,3.4493,2.8413,,,,
600350.SH,山东高速,0.8318,2.8369,,,,
