,ts_code,trade_date,pct_chg,amount
856,002362.SZ,20221111,3.8689,410774.545
3267,600692.SH,20221111,3.8596,50548.38
3165,600571.SH,20221111,3.8596,409874.513
4417,688037.SH,20221111,3.8551,716363.457
2769,600067.SH,20221111,3.8462,179202.385
90,000425.SZ,20221111,3.8298,364966.085
2540,301093.SZ,20221111,3.8179,194693.353
2345,300884.SZ,20221111,3.814,86156.133
4487,688117.SH,20221111,3.8132,96127.172
623,002123.SZ,20221111,3.8121,321550.144
2643,301227.SZ,20221111,3.8117,101724.297
1829,300347.SZ,20221111,3.8108,1150819.154
2700,301359.SZ,20221111,3.8099,247884.991
28,000036.SZ,20221111,3.7975,129524.635
2906,600233.SH,20221111,3.7968,594310.033
3559,601166.SH,20221111,3.7918,2033447.365
3570,601208.SH,20221111,3.7885,186296.783
202,000638.SZ,20221111,3.7736,783209.082
4416,688036.SH,20221111,3.7688,281759.185
286,000776.SZ,20221111,3.762,1989801.73
3901,603259.SH,20221111,3.7559,4642899.421
1291,002821.SZ,20221111,3.7506,2007040.652
2723,600007.SH,20221111,3.7429,69431.382
3110,600506.SH,20221111,3.7383,80780.099
295,000789.SZ,20221111,3.7304,83623.048
1024,002537.SZ,20221111,3.7296,1234365.801
4602,688259.SH,20221111,3.727,145671.038
718,002221.SZ,20221111,3.7081,121205.503
311,000809.SZ,20221111,3.6923,19725.228
3178,600585.SH,20221111,3.6866,1035070.884
2787,600094.SH,20221111,3.681,95506.898
3980,603392.SH,20221111,3.6776,1191820.96
2763,600060.SH,20221111,3.6649,249528.678
3371,600809.SH,20221111,3.6642,2362645.784
2266,300803.SZ,20221111,3.6559,730911.544
3688,601888.SH,20221111,3.6457,5133073.288
1441,002984.SZ,20221111,3.641,207664.182
1270,002798.SZ,20221111,3.6313,33037.974
3709,601966.SH,20221111,3.6295,463365.35
809,002314.SZ,20221111,3.6254,217223.605
3223,600638.SH,20221111,3.619,36884.135
3274,600702.SH,20221111,3.6135,2216001.38
2371,300911.SZ,20221111,3.6129,161149.483
1396,002935.SZ,20221111,3.6107,183719.515
3122,600519.SH,20221111,3.6034,11252112.275
1158,002674.SZ,20221111,3.6013,54448.915
1876,300398.SZ,20221111,3.5935,289942.395
2403,300947.SZ,20221111,3.5821,50448.303
2602,301177.SZ,20221111,3.5776,116054.092
2291,300829.SZ,20221111,3.5683,89347.888
2805,600113.SH,20221111,3.5613,151024.873
2801,600109.SH,20221111,3.5503,1268494.185
3743,603021.SH,20221111,3.5413,145882.59
3751,603030.SH,20221111,3.5336,120230.012
3661,601789.SH,20221111,3.532,306989.413
3928,603311.SH,20221111,3.5261,60203.828
179,000608.SZ,20221111,3.5211,66826.444
3719,601995.SH,20221111,3.5194,519019.617
1852,300374.SZ,20221111,3.5057,54174.217
2512,301062.SZ,20221111,3.4843,73986.604
1632,300143.SZ,20221111,3.4783,131867.055
3625,601601.SH,20221111,3.4774,704579.496
703,002205.SZ,20221111,3.4549,184616.583
1219,002741.SZ,20221111,3.4501,230367.769
1424,002966.SZ,20221111,3.4384,297366.277
3607,601456.SH,20221111,3.4347,789480.576
1240,002765.SZ,20221111,3.4173,645411.66
4529,688173.SH,20221111,3.4036,85231.619
3919,603298.SH,20221111,3.403,81693.195
1512,300015.SZ,20221111,3.3995,2233390.092
3940,603326.SH,20221111,3.3967,13530.753
2483,301030.SZ,20221111,3.3792,246601.667
1132,002648.SZ,20221111,3.374,437615.675
1362,002897.SZ,20221111,3.3691,286616.815
651,002153.SZ,20221111,3.3686,610773.954
327,000830.SZ,20221111,3.3634,269937.042
3713,601985.SH,20221111,3.3613,847819.691
3650,601699.SH,20221111,3.3487,743652.275
801,002306.SZ,20221111,3.3482,118587.101
166,000592.SZ,20221111,3.3457,221858.957
375,000910.SZ,20221111,3.3453,65123.47
3224,600639.SH,20221111,3.3241,108338.678
3387,600826.SH,20221111,3.3058,148099.622
2250,300786.SZ,20221111,3.2974,185866.97
196,000631.SZ,20221111,3.2967,121710.048
698,002200.SZ,20221111,3.2967,22982.419
4355,605336.SH,20221111,3.2924,49194.493
3421,600866.SH,20221111,3.2915,260329.192
205,000651.SZ,20221111,3.2869,2060381.561
965,002475.SZ,20221111,3.2862,2732133.84
1081,002594.SZ,20221111,3.2813,4467701.122
3159,600565.SH,20221111,3.271,106162.897
3499,600989.SH,20221111,3.27,330928.89
2923,600256.SH,20221111,3.2692,1548179.796
4154,603799.SH,20221111,3.2549,2127713.562
4062,603617.SH,20221111,3.2538,58403.756
1008,002520.SZ,20221111,3.2534,223817.54
4721,688409.SH,20221111,3.2526,327935.907
35,000046.SZ,20221111,3.252,115345.632
4836,688696.SH,20221111,3.2507,179509.787
680,002182.SZ,20221111,3.2483,501225.325
896,002402.SZ,20221111,3.2446,238242.48
1176,002694.SZ,20221111,3.2432,75923.68
1851,300373.SZ,20221111,3.2373,688378.634
656,002158.SZ,20221111,3.2343,256789.361
3740,603018.SH,20221111,3.2338,82928.072
692,002194.SZ,20221111,3.2291,356857.351
3196,600604.SH,20221111,3.2129,151735.554
3752,603031.SH,20221111,3.2021,82496.455
2189,300718.SZ,20221111,3.1989,174698.473
1857,300379.SZ,20221111,3.1901,503641.409
1688,300203.SZ,20221111,3.189,362938.685
58,000100.SZ,20221111,3.1863,1021646.566
2843,600160.SH,20221111,3.1854,666146.582
4391,688008.SH,20221111,3.1813,777670.639
2169,300696.SZ,20221111,3.1714,318681.451
2897,600223.SH,20221111,3.1662,143227.921
1104,002620.SZ,20221111,3.1634,94437.908
4675,688348.SH,20221111,3.1586,506841.426
982,002493.SZ,20221111,3.1535,329209.196
1057,002570.SZ,20221111,3.1447,169088.064
3689,601890.SH,20221111,3.1447,555417.523
3602,601377.SH,20221111,3.1359,902847.399
195,000630.SZ,20221111,3.1359,822328.63
2156,300683.SZ,20221111,3.1274,193454.696
315,000813.SZ,20221111,3.125,550744.793
4470,688099.SH,20221111,3.1148,603802.901
828,002333.SZ,20221111,3.1136,102567.804
996,002507.SZ,20221111,3.1122,501251.79
1378,002915.SZ,20221111,3.1088,297153.309
3108,600503.SH,20221111,3.1034,177213.415
3244,600663.SH,20221111,3.1016,67446.367
3366,600803.SH,20221111,3.0904,170521.705
3595,601336.SH,20221111,3.0823,258464.977
3287,600716.SH,20221111,3.0691,79327.318
64,000157.SZ,20221111,3.0686,283191.882
4632,688293.SH,20221111,3.0672,108431.254
3838,603163.SH,20221111,3.0633,254573.214
527,002025.SZ,20221111,3.0578,351966.362
3078,600463.SH,20221111,3.0556,42290.683
3232,600648.SH,20221111,3.0457,82919.951
1048,002561.SZ,20221111,3.0414,290473.986
1029,002542.SZ,20221111,3.0405,228466.67
3192,600600.SH,20221111,3.0402,815301.385
3438,600885.SH,20221111,3.0373,265957.826
114,000524.SZ,20221111,3.0333,298346.022
3832,603155.SH,20221111,3.027,62757.213
269,000737.SZ,20221111,3.0249,259145.686
4295,605086.SH,20221111,3.0214,38898.1
2739,600026.SH,20221111,3.01,1732814.159
374,000909.SZ,20221111,3.0067,426289.597
3877,603216.SH,20221111,3.0043,60067.015
2810,600118.SH,20221111,2.9897,406707.128
883,002389.SZ,20221111,2.9838,1024352.909
3894,603236.SH,20221111,2.9821,524376.325
321,000822.SZ,20221111,2.9814,259390.335
576,002076.SZ,20221111,2.9787,43598.831
2080,300606.SZ,20221111,2.9748,120648.917
2666,301273.SZ,20221111,2.9743,85429.088
3249,600668.SH,20221111,2.9703,302351.264
3315,600745.SH,20221111,2.9644,1646493.194
4026,603559.SH,20221111,2.963,150333.97
3354,600790.SH,20221111,2.963,130236.835
1319,002851.SZ,20221111,2.9624,94486.884
4305,605117.SH,20221111,2.9619,696446.51
3292,600721.SH,20221111,2.961,384421.294
4825,688678.SH,20221111,2.9572,69931.46
1509,300012.SZ,20221111,2.9526,246309.103
740,002243.SZ,20221111,2.952,138541.539
4167,603818.SH,20221111,2.9412,83971.746
2276,300814.SZ,20221111,2.9365,101763.992
1161,002677.SZ,20221111,2.9356,52057.23
4001,603501.SH,20221111,2.9322,1422133.125
673,002175.SZ,20221111,2.924,151329.003
70,000338.SZ,20221111,2.9234,566130.35
339,000858.SZ,20221111,2.9226,5514689.559
796,002301.SZ,20221111,2.9207,240196.745
43,000060.SZ,20221111,2.9126,227902.965
403,000951.SZ,20221111,2.9119,302374.456
4619,688279.SH,20221111,2.9003,63248.299
3938,603323.SH,20221111,2.8953,189059.514
4635,688297.SH,20221111,2.8935,390678.711
2839,600156.SH,20221111,2.8926,39821.496
4299,605098.SH,20221111,2.8863,53975.077
1109,002625.SZ,20221111,2.8765,460343.719
2743,600030.SH,20221111,2.8757,2365374.902
186,000619.SZ,20221111,2.8614,157589.551
534,002032.SZ,20221111,2.8605,72881.635
275,000753.SZ,20221111,2.8571,126187.96
1802,300319.SZ,20221111,2.8571,172618.431
4103,603690.SH,20221111,2.8571,523665.151
2654,301239.SZ,20221111,2.8551,136872.44
3581,601233.SH,20221111,2.855,293160.749
72,000401.SZ,20221111,2.8536,127564.832
2859,600179.SH,20221111,2.849,97439.051
2682,301308.SZ,20221111,2.8397,424994.415
3379,600818.SH,20221111,2.8392,177537.085
1186,002705.SZ,20221111,2.8279,210588.232
101,000506.SZ,20221111,2.8249,405671.817
1380,002917.SZ,20221111,2.8244,173134.317
2896,600222.SH,20221111,2.8192,338333.278
