,index,ts_code,trade_date,pct_chg,amount
340,1245,002777.SZ,20221017,5.1701,507065.578
341,4627,688319.SH,20221017,5.1688,41091.511
342,4553,688228.SH,20221017,5.1685,18397.322
343,238,000700.SZ,20221017,5.1546,187406.196
344,1176,002699.SZ,20221017,5.1447,9069.41
345,1310,002848.SZ,20221017,5.1444,129896.893
346,2788,600114.SH,20221017,5.137,128185.64
347,4779,688656.SH,20221017,5.1227,110371.979
348,103,000509.SZ,20221017,5.1213,64684.345
349,3162,600588.SH,20221017,5.1059,649327.159
350,2104,300636.SZ,20221017,5.1013,183522.813
351,146,000561.SZ,20221017,5.098,174072.754
352,79,000410.SZ,20221017,5.0877,29977.438
353,1214,002742.SZ,20221017,5.0847,59011.203
354,2113,300645.SZ,20221017,5.0789,46466.145
355,1726,300248.SZ,20221017,5.0767,260101.74
356,2066,300598.SZ,20221017,5.0633,303528.763
357,4373,688013.SH,20221017,5.0538,59380.832
358,4027,603603.SH,20221017,5.0403,102685.945
359,4659,688365.SH,20221017,5.0307,20674.691
360,2536,301095.SZ,20221017,5.016,375626.781
361,4665,688371.SH,20221017,5.011,95442.733
362,3172,600599.SH,20221017,5.0056,32432.106
363,4630,688322.SH,20221017,5.0037,46202.141
364,983,002499.SZ,20221017,5.0,11297.006
365,2944,600306.SH,20221017,5.0,1200.276
366,2759,600078.SH,20221017,4.9922,218195.81
367,1599,300115.SZ,20221017,4.9819,400436.831
368,3754,603063.SH,20221017,4.981,310035.309
369,760,002270.SZ,20221017,4.9808,164916.426
370,4635,688328.SH,20221017,4.9796,36098.581
371,1488,003041.SZ,20221017,4.9795,178831.38
372,2786,600112.SH,20221017,4.9793,68106.753
373,677,002184.SZ,20221017,4.9666,75490.896
374,1889,300417.SZ,20221017,4.9595,36739.331
375,3285,600734.SH,20221017,4.9569,44245.064
376,1239,002771.SZ,20221017,4.9526,49488.336
377,3223,600661.SH,20221017,4.9517,101447.434
378,4751,688590.SH,20221017,4.9474,29280.865
379,210,000659.SZ,20221017,4.9275,172667.517
380,4372,688012.SH,20221017,4.915,1118396.279
381,4386,688028.SH,20221017,4.9057,30973.048
382,1431,002980.SZ,20221017,4.899,182388.517
383,1607,300123.SZ,20221017,4.8913,85241.191
384,4176,603882.SH,20221017,4.8878,906074.846
385,1560,300074.SZ,20221017,4.8851,62373.86
386,4454,688109.SH,20221017,4.8831,12167.401
387,2991,600363.SH,20221017,4.8734,311628.826
388,1117,002638.SZ,20221017,4.8673,122073.423
389,1008,002526.SZ,20221017,4.8673,111434.714
390,1937,300466.SZ,20221017,4.8485,30333.954
391,2126,300659.SZ,20221017,4.8485,99935.035
392,480,001296.SZ,20221017,4.8435,220932.567
393,4780,688658.SH,20221017,4.8397,117077.0
394,1932,300461.SZ,20221017,4.8375,17269.866
395,4397,688045.SH,20221017,4.8294,47950.957
396,4452,688107.SH,20221017,4.8248,90831.687
397,1209,002737.SZ,20221017,4.8205,284408.635
398,1532,300044.SZ,20221017,4.8159,128440.024
399,3058,600462.SH,20221017,4.8128,12150.68
400,2021,300552.SZ,20221017,4.8091,70325.001
401,403,000951.SZ,20221017,4.797,152505.786
402,4699,688455.SH,20221017,4.7619,43809.002
403,1749,300271.SZ,20221017,4.7619,132378.178
404,3916,603324.SH,20221017,4.7595,95111.269
405,758,002268.SZ,20221017,4.7557,948631.857
406,4768,688619.SH,20221017,4.7537,12727.891
407,4113,603757.SH,20221017,4.7512,260778.92
408,2056,300588.SZ,20221017,4.7478,122290.172
409,261,000727.SZ,20221017,4.7368,108079.903
410,1479,003031.SZ,20221017,4.7287,125994.4
411,1725,300247.SZ,20221017,4.7222,148076.297
412,1713,300235.SZ,20221017,4.717,52893.93
413,484,001316.SZ,20221017,4.7083,223223.664
414,3256,600703.SH,20221017,4.7039,1496806.322
415,1428,002977.SZ,20221017,4.7024,47967.048
416,3335,600790.SH,20221017,4.6875,182391.111
417,4418,688069.SH,20221017,4.6844,19295.367
418,1081,002599.SZ,20221017,4.6729,83110.046
419,4528,688200.SH,20221017,4.6682,199293.331
420,1562,300076.SZ,20221017,4.6667,23388.826
421,4385,688027.SH,20221017,4.665,111684.01
422,4496,688165.SH,20221017,4.6541,22826.956
423,1009,002527.SZ,20221017,4.6512,73325.271
424,655,002161.SZ,20221017,4.6465,84171.891
425,2263,300806.SZ,20221017,4.6288,94704.204
426,2631,301218.SZ,20221017,4.6229,41169.598
427,4226,603969.SH,20221017,4.6211,321659.464
428,2663,301285.SZ,20221017,4.6174,223585.888
429,4710,688509.SH,20221017,4.5977,29736.29
430,3377,600836.SH,20221017,4.5959,51195.311
431,3889,603279.SH,20221017,4.5818,112598.745
432,2615,301197.SZ,20221017,4.5782,55023.717
433,1459,003009.SZ,20221017,4.5723,111634.077
434,4320,605287.SH,20221017,4.5643,120165.148
435,2217,300756.SZ,20221017,4.5637,16277.078
436,3339,600794.SH,20221017,4.5584,74388.552
437,4826,688786.SH,20221017,4.5552,57078.112
438,4095,603713.SH,20221017,4.5547,155943.127
439,1567,300081.SZ,20221017,4.5526,118911.386
440,4651,688353.SH,20221017,4.5467,125544.818
441,4666,688373.SH,20221017,4.5455,51537.789
442,4456,688111.SH,20221017,4.5437,1247050.621
443,4405,688053.SH,20221017,4.5417,47926.3
444,4227,603970.SH,20221017,4.5394,97685.689
445,2248,300789.SZ,20221017,4.5301,19179.392
446,3186,600615.SH,20221017,4.5263,32732.668
447,4314,605258.SH,20221017,4.5098,16540.566
448,2057,300589.SZ,20221017,4.5061,116185.139
449,2118,300651.SZ,20221017,4.5007,52362.758
450,2858,600198.SH,20221017,4.5,57805.768
451,954,002468.SZ,20221017,4.4978,676678.969
452,4168,603869.SH,20221017,4.4957,73109.883
453,4276,605098.SH,20221017,4.4953,52237.813
454,1366,002908.SZ,20221017,4.4803,300923.967
455,1227,002757.SZ,20221017,4.4747,61578.372
456,3769,603086.SH,20221017,4.4713,273888.244
457,1656,300173.SZ,20221017,4.4706,31537.966
458,3988,603519.SH,20221017,4.4697,56787.377
459,4365,688005.SH,20221017,4.4674,1438413.427
460,1293,002829.SZ,20221017,4.4664,111698.358
461,2462,301013.SZ,20221017,4.4444,35801.324
462,1844,300371.SZ,20221017,4.4426,21812.809
463,2451,301002.SZ,20221017,4.4399,25512.503
464,1771,300293.SZ,20221017,4.4318,42039.736
465,1519,300030.SZ,20221017,4.4286,74676.728
466,4562,688237.SH,20221017,4.4276,55850.669
467,4411,688060.SH,20221017,4.4162,17864.541
468,2677,301318.SZ,20221017,4.4142,137194.33
469,872,002383.SZ,20221017,4.414,191363.857
470,4544,688218.SH,20221017,4.404,103045.7
471,705,002212.SZ,20221017,4.3893,644587.87
472,507,002008.SZ,20221017,4.3708,680500.259
473,1923,300452.SZ,20221017,4.3662,210423.181
474,154,000571.SZ,20221017,4.3651,60368.953
475,2331,300875.SZ,20221017,4.3526,129241.377
476,1375,002918.SZ,20221017,4.3506,133598.56
477,1697,300219.SZ,20221017,4.3419,76374.357
478,1645,300162.SZ,20221017,4.3415,64346.767
479,2157,300690.SZ,20221017,4.3406,81950.786
480,3237,600679.SH,20221017,4.3379,17104.914
481,2440,300991.SZ,20221017,4.3369,30247.501
482,4213,603939.SH,20221017,4.333,405147.938
483,1707,300229.SZ,20221017,4.3315,165590.518
484,1247,002779.SZ,20221017,4.3282,10897.28
485,4581,688267.SH,20221017,4.3254,23112.539
486,4458,688113.SH,20221017,4.3197,17815.777
487,1389,002933.SZ,20221017,4.3182,37740.674
488,4364,688004.SH,20221017,4.3148,9571.478
489,4511,688182.SH,20221017,4.3124,28389.58
490,1162,002685.SZ,20221017,4.3033,653607.258
491,3102,600518.SH,20221017,4.3011,253001.813
492,3629,601698.SH,20221017,4.2802,128907.258
493,3240,600683.SH,20221017,4.277,174444.543
494,86,000420.SZ,20221017,4.2755,155264.645
495,665,002171.SZ,20221017,4.2676,216044.136
496,4396,688041.SH,20221017,4.2652,1243877.315
497,1088,002607.SZ,20221017,4.2601,741104.061
498,463,001229.SZ,20221017,4.2515,70573.646
499,4618,688310.SH,20221017,4.2512,33158.56
500,4489,688157.SH,20221017,4.2471,46449.382
501,4471,688127.SH,20221017,4.2354,60656.11
502,4561,688236.SH,20221017,4.2335,113625.266
503,644,002150.SZ,20221017,4.2254,77560.279
504,1513,300022.SZ,20221017,4.2222,50170.737
505,393,000931.SZ,20221017,4.2208,83418.418
506,4746,688580.SH,20221017,4.2188,100204.647
507,4423,688075.SH,20221017,4.2088,229008.791
508,3206,600640.SH,20221017,4.1989,125691.131
509,1388,002932.SZ,20221017,4.1908,385837.102
510,2094,300626.SZ,20221017,4.1872,17263.29
511,4541,688215.SH,20221017,4.1851,7314.653
512,2811,600139.SH,20221017,4.1841,119987.611
513,1154,002675.SZ,20221017,4.182,566081.162
514,1498,300007.SZ,20221017,4.1738,178539.533
515,2102,300634.SZ,20221017,4.1694,367950.546
516,3808,603139.SH,20221017,4.1687,35055.393
517,1131,002652.SZ,20221017,4.1667,26431.346
518,1812,300336.SZ,20221017,4.1667,27669.082
519,1352,002892.SZ,20221017,4.1541,63935.788
520,2504,301059.SZ,20221017,4.1406,42671.169
521,4224,603967.SH,20221017,4.1394,40775.159
522,209,000657.SZ,20221017,4.1394,276302.478
523,2885,600230.SH,20221017,4.1382,1019372.24
524,925,002436.SZ,20221017,4.1339,420960.986
525,1776,300298.SZ,20221017,4.1306,250765.026
526,2969,600335.SH,20221017,4.129,202606.192
527,3890,603283.SH,20221017,4.1129,306377.411
528,4060,603662.SH,20221017,4.1105,31245.582
529,2920,600276.SH,20221017,4.1063,5591331.348
530,4258,605020.SH,20221017,4.1018,123491.648
531,4608,688298.SH,20221017,4.097,456930.522
532,1748,300270.SZ,20221017,4.0892,16320.386
533,4388,688030.SH,20221017,4.0846,17590.784
534,2594,301171.SZ,20221017,4.0694,133945.613
535,1056,002574.SZ,20221017,4.0685,28098.455
536,857,002368.SZ,20221017,4.0659,355772.849
537,2753,600071.SH,20221017,4.0659,128375.957
538,4492,688160.SH,20221017,4.0641,52941.227
539,3022,600399.SH,20221017,4.0494,405698.113
540,1582,300097.SZ,20221017,4.0453,63850.516
541,4688,688400.SH,20221017,4.0408,121392.155
542,1537,300049.SZ,20221017,4.0361,300715.02
543,4612,688302.SH,20221017,4.0336,40014.762
544,4640,688333.SH,20221017,4.0288,121068.309
545,669,002175.SZ,20221017,4.023,380841.016
546,3131,600552.SH,20221017,4.0223,166769.361
547,1688,300209.SZ,20221017,4.0201,102885.587
